[2024-10-27 17:44:30,253 : INFO: main :bruh]
[2024-10-30 11:13:41,909 : INFO: common :yaml file: config\config.yaml loaded successfully]
[2024-10-30 11:13:41,915 : INFO: common :yaml file: params.yaml loaded successfully]
[2024-10-30 11:13:41,915 : INFO: common :Directory created for path: artifacts]
[2024-10-30 11:14:50,938 : INFO: common :yaml file: config\config.yaml loaded successfully]
[2024-10-30 11:14:50,939 : INFO: common :yaml file: params.yaml loaded successfully]
[2024-10-30 11:14:50,949 : INFO: common :Directory created for path: artifacts]
[2024-10-30 11:20:26,826 : INFO: common :yaml file: config\config.yaml loaded successfully]
[2024-10-30 11:20:26,827 : INFO: common :yaml file: params.yaml loaded successfully]
[2024-10-30 11:20:26,827 : INFO: common :Directory already exists for path: artifacts]
[2024-10-30 11:20:26,828 : INFO: common :Directory created for path: artifacts/data_ingestion]
[2024-10-30 11:21:47,367 : INFO: common :yaml file: config\config.yaml loaded successfully]
[2024-10-30 11:21:47,368 : INFO: common :yaml file: params.yaml loaded successfully]
[2024-10-30 11:21:47,368 : INFO: common :Directory already exists for path: artifacts]
[2024-10-30 11:21:47,369 : INFO: common :Directory already exists for path: artifacts/data_ingestion]
[2024-10-30 11:21:47,369 : INFO: 761354044 :Downloading data from https://drive.google.com/file/d/1KaPgmCOze7F-9yT_-Yq2mtPyhBXDbVzq/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-30 11:24:49,775 : INFO: 761354044 :Data downloaded at https://drive.google.com/file/d/1KaPgmCOze7F-9yT_-Yq2mtPyhBXDbVzq/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-30 11:48:34,487 : INFO: main :>>>>>> stage Data Ingestion started <<<<<<]
[2024-10-30 11:48:34,488 : INFO: common :yaml file: config\config.yaml loaded successfully]
[2024-10-30 11:48:34,488 : INFO: common :yaml file: params.yaml loaded successfully]
[2024-10-30 11:48:34,489 : INFO: common :Directory created for path: artifacts]
[2024-10-30 11:48:34,489 : INFO: common :Directory created for path: artifacts/data_ingestion]
[2024-10-30 11:48:34,489 : INFO: data_ingestion :Downloading data from https://drive.google.com/file/d/1KaPgmCOze7F-9yT_-Yq2mtPyhBXDbVzq/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-30 11:51:34,266 : INFO: data_ingestion :Data downloaded at https://drive.google.com/file/d/1KaPgmCOze7F-9yT_-Yq2mtPyhBXDbVzq/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-30 11:51:46,714 : INFO: main :>>>>>> stage Data Ingestion completed <<<<<<

x============x]
